timestamp,deviceid,signature,source_ip,source_port,destination_ip,destination_port,event_name,severity
2023-12-21T02:43:50.371227Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:43:53.162539Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:44:00.514494Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:42:39.625791Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:42:48.161035Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:42:52.320267Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,54909,192.168.10.31,161,nids,2
2023-12-21T02:44:05.581972Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.68,64485,192.168.10.112,161,nids,2
2023-12-21T02:44:09.015390Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,51461,192.168.10.31,161,nids,2
2023-12-21T02:44:22.403316Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,58294,192.168.10.31,161,nids,2
2023-12-21T02:44:38.163845Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:44:39.665521Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:44:50.155571Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:44:52.430348Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,59491,192.168.10.31,161,nids,2
2023-12-21T02:45:00.270244Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:45:09.052665Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,61466,192.168.10.31,161,nids,2
2023-12-21T02:45:22.448286Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,60712,192.168.10.31,161,nids,2
2023-12-21T02:45:33.162497Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:45:39.677577Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:45:48.161534Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:45:52.468986Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,52116,192.168.10.31,161,nids,2
2023-12-21T02:44:45.001436Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,50572,52.142.223.178,80,nids,3
2023-12-21T02:45:09.720962Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET POLICY Windows Update P2P Activity,192.168.0.120,63323,192.168.10.102,7680,nids,3
2023-12-21T02:45:42.619230Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,63328,138.91.171.81,80,nids,3
2023-12-21T02:44:05.591433Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.68,64485,192.168.10.112,161,nids,2
2023-12-21T02:44:13.161339Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:44:23.161947Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:44:39.022537Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,49909,192.168.10.31,161,nids,2
2023-12-21T02:44:39.665750Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:44:50.155788Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:44:53.160945Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:45:00.270432Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:45:09.060892Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,61467,192.168.10.31,161,nids,2
2023-12-21T02:45:22.455652Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,60713,192.168.10.31,161,nids,2
2023-12-21T02:45:38.162876Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:45:39.677928Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:45:49.885978Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:44:29.522679Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET POLICY Windows Update P2P Activity,192.168.0.120,63295,192.168.10.102,7680,nids,3
2023-12-21T02:44:54.001520Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,50587,52.142.223.178,80,nids,3
2023-12-21T02:45:17.372194Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,63324,23.47.5.152,80,nids,3
2023-12-21T02:45:44.964580Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,63331,23.47.5.152,80,nids,3
2023-12-21T02:45:50.929139Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,63335,23.47.5.152,80,nids,3
2023-12-21T02:44:56.270112Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,63315,23.47.5.152,80,nids,3
2023-12-21T02:45:42.617137Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,63329,23.47.5.152,80,nids,3
2023-12-21T02:45:49.296552Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,63333,23.47.5.152,80,nids,3
2023-12-21T02:45:57.564823Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET USER_AGENTS Microsoft Device Metadata Retrieval Client User-Agent,192.168.0.120,63337,23.47.5.152,80,nids,3
2023-12-21T02:46:18.161400Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:47:40.621001Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:47:48.421942Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:47:50.451671Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:46:53.665540Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:46:58.163272Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:46:59.796275Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:46:59.796607Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:46:59.796758Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:47:09.149393Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,63448,192.168.10.31,161,nids,2
2023-12-21T02:47:18.165630Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:47:28.162285Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:47:05.853976Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:47:11.939192Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:47:22.557309Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,56259,192.168.10.31,161,nids,2
2023-12-21T02:47:33.162576Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:47:39.182779Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,53644,192.168.10.31,161,nids,2
2023-12-21T02:47:39.716278Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:47:42.336837Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:47:50.451284Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:48:00.592954Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:48:05.610437Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.68,64485,192.168.10.112,161,nids,2
2023-12-21T02:48:11.660106Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:48:20.833038Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:48:22.591071Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,64386,192.168.10.31,161,nids,2
2023-12-21T02:48:31.974704Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:48:33.165327Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:48:39.219503Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,51405,192.168.10.31,161,nids,2
2023-12-21T02:48:39.730797Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:48:30.960649Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:48:39.730585Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:48:58.165206Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:48:52.617386Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,60170,192.168.10.31,161,nids,2
2023-12-21T02:49:00.330422Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:49:23.164610Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:49:22.649103Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49854,192.168.10.31,161,nids,2
2023-12-21T02:49:33.166631Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:49:39.749723Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:50:03.165852Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:08.165994Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:09.310873Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,53411,192.168.10.31,161,nids,2
2023-12-21T02:50:09.322741Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,53412,192.168.10.31,161,nids,2
2023-12-21T02:50:13.166479Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:18.163812Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:22.700290Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49869,192.168.10.31,161,nids,2
2023-12-21T02:50:22.707817Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49870,192.168.10.31,161,nids,2
2023-12-21T02:50:23.163887Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:28.166111Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:33.166803Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:38.166876Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:39.341767Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,61552,192.168.10.31,161,nids,2
2023-12-21T02:50:39.349921Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,61553,192.168.10.31,161,nids,2
2023-12-21T02:50:39.769629Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:50:39.769967Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:50:39.770245Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:50:43.167322Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:48.167858Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:50.728103Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.199,161,nids,2
2023-12-21T02:50:50.728352Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:50:50.728629Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,49153,192.168.10.32,161,nids,2
2023-12-21T02:50:52.730103Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,54526,192.168.10.31,161,nids,2
2023-12-21T02:50:52.737792Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.152,54527,192.168.10.31,161,nids,2
2023-12-21T02:50:53.165065Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
2023-12-21T02:50:58.166285Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,59266,239.255.255.250,1900,nids,2
