timestamp,deviceid,signature,source_ip,source_port,destination_ip,destination_port,event_name,severity
2023-12-23T13:14:16.588791Z,chr2.flowring.b2ea6dfd-cc5a-58c7-94e5-f5a4e51e2127,GPL MISC UPnP malformed advertisement,192.168.0.143,1900,239.255.255.250,1900,nids,2
2023-12-23T13:14:16.589093Z,chr2.flowring.b2ea6dfd-cc5a-58c7-94e5-f5a4e51e2127,GPL MISC UPnP malformed advertisement,192.168.0.143,1900,239.255.255.250,1900,nids,2
2023-12-23T13:14:16.589208Z,chr2.flowring.b2ea6dfd-cc5a-58c7-94e5-f5a4e51e2127,GPL MISC UPnP malformed advertisement,192.168.0.143,1900,239.255.255.250,1900,nids,2
2023-12-23T13:14:16.591191Z,chr2.flowring.b2ea6dfd-cc5a-58c7-94e5-f5a4e51e2127,GPL MISC UPnP malformed advertisement,192.168.0.143,1900,239.255.255.250,1900,nids,2
2023-12-23T13:14:16.591441Z,chr2.flowring.b2ea6dfd-cc5a-58c7-94e5-f5a4e51e2127,GPL MISC UPnP malformed advertisement,192.168.0.143,1900,239.255.255.250,1900,nids,2
2023-12-23T13:14:16.591537Z,chr2.flowring.b2ea6dfd-cc5a-58c7-94e5-f5a4e51e2127,GPL MISC UPnP malformed advertisement,192.168.0.143,1900,239.255.255.250,1900,nids,2
2023-12-23T13:14:02.907466Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET POLICY Windows Update P2P Activity,192.168.0.120,62697,192.168.10.102,7680,nids,3
2023-12-23T13:14:43.201470Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET POLICY Windows Update P2P Activity,192.168.0.120,62698,192.168.10.102,7680,nids,3
2023-12-23T13:15:23.455318Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,ET POLICY Windows Update P2P Activity,192.168.0.120,62699,192.168.10.102,7680,nids,3
2023-12-23T13:16:06.734118Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,60265,192.168.10.31,161,nids,2
2023-12-23T13:16:36.742385Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,54479,192.168.10.31,161,nids,2
2023-12-23T13:16:41.371206Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,64964,239.255.255.250,1900,nids,2
2023-12-23T13:16:06.728858Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL SNMP public access udp,192.168.0.227,60264,192.168.10.31,161,nids,2
2023-12-23T13:16:11.371161Z,chr2.flowring.603feae8-3c1e-5620-a3fa-745c8257c804,GPL MISC UPnP malformed advertisement,192.168.10.105,64964,239.255.255.250,1900,nids,2
